,Name,College_or_above_percentage,Some_college_percentage,Highschool_percentage,No_highschool_percentage
1367,"Dodge County, Minnesota",27.4,35.5,31.3,5.8
1368,"Douglas County, Minnesota",27.2,37.8,30.6,4.5
1369,"Faribault County, Minnesota",19.8,37.1,35.4,7.8
1370,"Fillmore County, Minnesota",22.5,36.7,31.8,8.9
1371,"Freeborn County, Minnesota",17.0,37.0,34.2,11.8
1372,"Goodhue County, Minnesota",26.2,34.5,32.2,7.1
1373,"Grant County, Minnesota",17.9,41.0,34.2,7.0
1374,"Hennepin County, Minnesota",51.0,26.7,15.9,6.4
1375,"Houston County, Minnesota",24.1,35.1,35.5,5.3
1376,"Hubbard County, Minnesota",28.4,35.9,29.5,6.2
1377,"Isanti County, Minnesota",18.1,38.6,35.6,7.7
1378,"Itasca County, Minnesota",24.6,38.8,30.8,5.8
1379,"Jackson County, Minnesota",22.7,35.9,34.7,6.8
1380,"Kanabec County, Minnesota",14.7,36.6,38.7,10.1
1381,"Kandiyohi County, Minnesota",24.4,39.4,27.1,9.1
1382,"Kittson County, Minnesota",26.3,30.8,39.7,3.2
1383,"Koochiching County, Minnesota",15.1,41.8,35.8,7.3
1384,"Lac qui Parle County, Minnesota",18.8,36.8,37.8,6.5
1385,"Lake County, Minnesota",28.0,36.3,30.3,5.4
1386,"Lake of the Woods County, Minnesota",21.3,39.2,35.7,3.7
1387,"Le Sueur County, Minnesota",22.9,36.4,35.3,5.5
1388,"Lincoln County, Minnesota",19.3,35.8,37.4,7.5
1389,"Lyon County, Minnesota",26.4,35.6,31.0,7.0
1390,"McLeod County, Minnesota",17.3,42.2,33.9,6.7
1391,"Mahnomen County, Minnesota",12.9,37.5,35.7,13.9
1392,"Marshall County, Minnesota",18.5,33.5,38.1,9.9
1393,"Martin County, Minnesota",21.7,36.3,35.6,6.4
1394,"Meeker County, Minnesota",18.2,39.5,35.9,6.5
1395,"Mille Lacs County, Minnesota",16.0,37.0,37.3,9.8
1396,"Morrison County, Minnesota",17.3,35.2,38.7,8.9
1397,"Mower County, Minnesota",22.6,33.0,32.6,11.8
1398,"Murray County, Minnesota",20.8,33.6,35.7,9.9
1399,"Nicollet County, Minnesota",34.4,34.8,24.6,6.2
1400,"Nobles County, Minnesota",16.3,30.2,31.1,22.4
1401,"Norman County, Minnesota",21.4,36.1,35.6,6.9
1402,"Olmsted County, Minnesota",46.7,28.6,19.2,5.5
1403,"Otter Tail County, Minnesota",25.9,39.0,27.2,7.9
1404,"Pennington County, Minnesota",19.7,43.0,31.5,5.8
1405,"Pine County, Minnesota",15.3,34.8,41.1,8.8
1406,"Pipestone County, Minnesota",19.3,34.2,36.7,9.8
1407,"Polk County, Minnesota",27.3,35.4,30.5,6.8
1408,"Pope County, Minnesota",22.3,40.6,30.8,6.3
1409,"Ramsey County, Minnesota",43.0,26.9,21.1,9.0
1410,"Red Lake County, Minnesota",17.0,40.7,36.4,6.0
1411,"Redwood County, Minnesota",19.1,35.8,37.5,7.6
1412,"Renville County, Minnesota",15.1,39.0,36.4,9.6
1413,"Rice County, Minnesota",28.5,31.3,31.6,8.5
1414,"Rock County, Minnesota",23.8,38.0,31.3,6.9
1415,"Roseau County, Minnesota",19.0,37.3,35.2,8.5
1416,"St. Louis County, Minnesota",30.1,38.4,25.9,5.5
1417,"Scott County, Minnesota",40.9,33.1,21.1,4.9
1418,"Sherburne County, Minnesota",25.7,39.9,28.5,5.9
1419,"Sibley County, Minnesota",16.5,36.7,39.0,7.8
1420,"Stearns County, Minnesota",27.8,35.9,28.2,8.1
1421,"Steele County, Minnesota",26.8,34.0,31.8,7.3
1422,"Stevens County, Minnesota",29.8,32.9,32.1,5.2
1423,"Swift County, Minnesota",21.5,37.3,32.3,9.0
1424,"Todd County, Minnesota",13.9,35.4,38.1,12.6
1425,"Traverse County, Minnesota",15.8,39.9,38.4,5.9
1426,"Wabasha County, Minnesota",24.4,36.5,32.9,6.2
1427,"Wadena County, Minnesota",16.9,39.3,35.2,8.6
1428,"Waseca County, Minnesota",22.1,35.1,36.0,6.8
1429,"Washington County, Minnesota",45.6,30.0,20.4,4.0
1430,"Watonwan County, Minnesota",17.6,29.2,37.4,15.8
1431,"Wilkin County, Minnesota",23.7,39.3,31.6,5.4
1432,"Winona County, Minnesota",31.3,35.4,26.9,6.5
1433,"Wright County, Minnesota",31.0,34.3,28.6,6.0
1434,"Yellow Medicine County, Minnesota",16.7,39.1,35.9,8.3
1435,"Mississippi, Mississippi",22.8,32.5,30.1,14.7
1436,"Adams County, Mississippi",17.8,26.0,31.8,24.5
1437,"Alcorn County, Mississippi",17.9,31.0,31.7,19.5
1438,"Amite County, Mississippi",12.0,28.7,45.4,14.0
1439,"Attala County, Mississippi",15.2,32.4,31.4,21.1
1440,"Benton County, Mississippi",10.1,31.3,33.1,25.4
1441,"Bolivar County, Mississippi",25.4,30.9,24.4,19.3
1442,"Calhoun County, Mississippi",11.3,31.4,35.3,22.0
1443,"Carroll County, Mississippi",14.5,36.7,33.1,15.7
1444,"Chickasaw County, Mississippi",12.5,27.9,37.0,22.6
1445,"Choctaw County, Mississippi",20.3,23.5,39.3,16.9
1446,"Claiborne County, Mississippi",20.7,29.7,29.0,20.7
1447,"Clarke County, Mississippi",12.9,32.6,40.0,14.5
1448,"Clay County, Mississippi",20.3,28.1,35.3,16.3
1449,"Coahoma County, Mississippi",17.7,36.9,26.2,19.2
1450,"Copiah County, Mississippi",16.8,32.6,34.7,15.9
1451,"Covington County, Mississippi",14.7,33.2,33.7,18.3
1452,"DeSoto County, Mississippi",24.8,36.1,30.1,9.0
1453,"Forrest County, Mississippi",27.7,34.9,25.9,11.5
1454,"Franklin County, Mississippi",12.6,35.2,36.1,16.2
1455,"George County, Mississippi",14.1,34.1,36.2,15.6
1456,"Greene County, Mississippi",11.0,31.4,35.7,21.9
1457,"Grenada County, Mississippi",19.8,32.2,30.9,17.1
1458,"Hancock County, Mississippi",26.0,36.3,28.2,9.6
1459,"Harrison County, Mississippi",23.7,36.9,28.4,11.0
1460,"Hinds County, Mississippi",30.2,34.2,23.8,11.8
1461,"Holmes County, Mississippi",11.7,29.2,37.7,21.4
1462,"Humphreys County, Mississippi",14.7,26.3,31.2,27.8
1463,"Issaquena County, Mississippi",3.4,27.1,35.6,34.0
1464,"Itawamba County, Mississippi",13.9,32.8,32.7,20.5
1465,"Jackson County, Mississippi",22.5,36.8,29.5,11.2
1466,"Jasper County, Mississippi",14.9,30.8,42.1,12.2
1467,"Jefferson County, Mississippi",19.1,28.3,33.0,19.6
1468,"Jefferson Davis County, Mississippi",14.2,32.3,37.5,16.0
1469,"Jones County, Mississippi",20.7,34.5,31.4,13.4
1470,"Kemper County, Mississippi",12.4,32.0,38.9,16.7
1471,"Lafayette County, Mississippi",47.1,25.9,19.1,7.9
1472,"Lamar County, Mississippi",33.2,30.0,26.1,10.7
1473,"Lauderdale County, Mississippi",21.1,36.9,27.2,14.8
1474,"Lawrence County, Mississippi",17.7,29.4,37.6,15.3
1475,"Leake County, Mississippi",15.9,28.0,36.5,19.5
1476,"Lee County, Mississippi",26.9,31.9,26.5,14.7
1477,"Leflore County, Mississippi",18.8,27.4,37.0,16.8
1478,"Lincoln County, Mississippi",15.8,32.6,38.2,13.5
1479,"Lowndes County, Mississippi",24.0,29.7,33.2,13.2
1480,"Madison County, Mississippi",50.0,25.1,16.7,8.2
1481,"Marion County, Mississippi",12.9,31.2,38.2,17.7
1482,"Marshall County, Mississippi",13.9,30.0,37.2,18.9
1483,"Monroe County, Mississippi",16.3,28.4,37.9,17.3
1484,"Montgomery County, Mississippi",18.9,29.3,31.5,20.3
1485,"Neshoba County, Mississippi",13.6,34.7,32.9,18.8
1486,"Newton County, Mississippi",16.5,36.7,31.7,15.0
1487,"Noxubee County, Mississippi",11.9,26.9,34.9,26.2
1488,"Oktibbeha County, Mississippi",42.9,26.3,22.1,8.8
1489,"Panola County, Mississippi",16.3,29.7,31.0,23.0
1490,"Pearl River County, Mississippi",14.6,40.1,31.9,13.3
1491,"Perry County, Mississippi",10.2,30.6,44.1,15.0
1492,"Pike County, Mississippi",16.0,31.1,35.4,17.5
1493,"Pontotoc County, Mississippi",18.2,31.0,27.8,23.0
1494,"Prentiss County, Mississippi",14.0,36.0,33.5,16.4
1495,"Quitman County, Mississippi",11.1,29.7,33.6,25.5
1496,"Rankin County, Mississippi",30.3,33.8,25.0,10.9
1497,"Scott County, Mississippi",11.3,31.8,34.5,22.5
1498,"Sharkey County, Mississippi",18.6,26.1,35.4,20.0
1499,"Simpson County, Mississippi",17.4,32.6,28.3,21.7
1500,"Smith County, Mississippi",13.0,28.3,37.5,21.2
1501,"Stone County, Mississippi",15.2,34.3,33.6,16.9
1502,"Sunflower County, Mississippi",16.5,26.2,32.3,25.1
1503,"Tallahatchie County, Mississippi",11.4,32.2,33.6,22.9
1504,"Tate County, Mississippi",17.2,35.4,33.7,13.8
1505,"Tippah County, Mississippi",13.9,29.7,34.7,21.7
1506,"Tishomingo County, Mississippi",11.8,30.5,37.2,20.4
1507,"Tunica County, Mississippi",15.3,28.6,36.8,19.2
1508,"Union County, Mississippi",14.0,31.1,31.9,23.0
1509,"Walthall County, Mississippi",15.5,20.3,43.2,21.0
1510,"Warren County, Mississippi",23.0,34.4,28.6,14.0
1511,"Washington County, Mississippi",20.5,29.1,32.0,18.4
1512,"Wayne County, Mississippi",20.6,25.2,34.6,19.6
1513,"Webster County, Mississippi",17.9,29.3,37.5,15.3
1514,"Wilkinson County, Mississippi",14.2,19.8,43.3,22.8
1515,"Winston County, Mississippi",16.1,30.4,37.7,15.8
1516,"Yalobusha County, Mississippi",12.2,27.9,44.1,15.8
1517,"Yazoo County, Mississippi",11.8,26.8,37.4,23.9
1518,"Missouri, Missouri",29.9,30.1,30.5,9.4
1519,"Adair County, Missouri",31.2,24.8,35.1,8.9
1520,"Andrew County, Missouri",26.6,29.7,36.4,7.4
1521,"Atchison County, Missouri",22.7,27.0,41.1,9.3
1522,"Audrain County, Missouri",14.3,29.1,43.0,13.6
1523,"Barry County, Missouri",15.0,27.8,41.5,15.7
1524,"Barton County, Missouri",18.8,27.3,40.4,13.5
1525,"Bates County, Missouri",14.8,26.1,46.2,13.0
1526,"Benton County, Missouri",14.7,32.3,39.2,13.8
1527,"Bollinger County, Missouri",10.8,26.5,46.4,16.4
1528,"Boone County, Missouri",47.7,26.4,20.6,5.4
1529,"Buchanan County, Missouri",21.9,29.7,37.3,11.2
1530,"Butler County, Missouri",13.0,32.1,39.0,16.0
1531,"Caldwell County, Missouri",15.0,30.5,44.5,9.9
1532,"Callaway County, Missouri",23.5,29.3,35.5,11.8
1533,"Camden County, Missouri",22.2,31.6,37.6,8.5
1534,"Cape Girardeau County, Missouri",31.9,28.2,31.5,8.4
1535,"Carroll County, Missouri",17.7,26.2,43.6,12.4
1536,"Carter County, Missouri",15.2,21.9,49.2,13.8
1537,"Cass County, Missouri",27.0,33.4,33.1,6.5
1538,"Cedar County, Missouri",13.7,32.7,40.1,13.5
1539,"Chariton County, Missouri",18.5,25.6,46.7,9.3
1540,"Christian County, Missouri",30.7,33.5,28.2,7.6
1541,"Clark County, Missouri",12.2,27.3,47.0,13.5
1542,"Clay County, Missouri",32.8,32.5,28.0,6.6
1543,"Clinton County, Missouri",22.0,27.4,43.4,7.2
1544,"Cole County, Missouri",35.5,27.6,29.0,7.8
1545,"Cooper County, Missouri",22.4,29.9,36.5,11.3
1546,"Crawford County, Missouri",11.9,29.0,40.8,18.3
1547,"Dade County, Missouri",13.8,30.6,43.7,11.9
1548,"Dallas County, Missouri",11.4,26.1,48.6,14.0
1549,"Daviess County, Missouri",20.8,25.7,41.4,12.1
1550,"DeKalb County, Missouri",15.8,28.0,44.7,11.6
1551,"Dent County, Missouri",14.9,29.9,39.2,16.1
1552,"Douglas County, Missouri",13.0,27.5,42.4,17.1
1553,"Dunklin County, Missouri",13.9,25.0,40.2,21.0
1554,"Franklin County, Missouri",21.3,35.4,32.7,10.6
1555,"Gasconade County, Missouri",21.3,28.1,38.4,12.2
1556,"Gentry County, Missouri",20.3,24.1,41.7,13.9
1557,"Greene County, Missouri",31.5,33.0,28.1,7.4
1558,"Grundy County, Missouri",18.2,29.2,37.2,15.4
1559,"Harrison County, Missouri",15.7,27.8,47.0,9.5
1560,"Henry County, Missouri",15.6,30.1,41.5,12.8
1561,"Hickory County, Missouri",8.5,31.4,47.3,12.8
1562,"Holt County, Missouri",18.2,29.3,45.3,7.2
1563,"Howard County, Missouri",28.7,24.5,35.5,11.2
1564,"Howell County, Missouri",17.3,28.7,39.9,14.0
1565,"Iron County, Missouri",11.9,29.0,40.3,18.8
1566,"Jackson County, Missouri",32.1,31.0,28.1,8.7
1567,"Jasper County, Missouri",22.7,29.6,34.9,12.8
1568,"Jefferson County, Missouri",21.1,36.8,32.2,9.8
1569,"Johnson County, Missouri",29.5,33.1,30.0,7.5
1570,"Knox County, Missouri",15.7,26.1,46.1,12.1
1571,"Laclede County, Missouri",15.0,27.5,43.4,14.1
1572,"Lafayette County, Missouri",20.8,25.7,43.6,9.9
1573,"Lawrence County, Missouri",15.9,29.7,39.2,15.2
1574,"Lewis County, Missouri",14.4,28.2,44.6,12.8
1575,"Lincoln County, Missouri",17.9,31.5,40.6,10.0
1576,"Linn County, Missouri",18.5,24.9,45.8,10.8
1577,"Livingston County, Missouri",19.0,29.0,39.7,12.4
1578,"McDonald County, Missouri",11.4,25.1,42.8,20.7
1579,"Macon County, Missouri",17.5,25.3,46.7,10.6
1580,"Madison County, Missouri",14.1,31.4,40.5,14.0
1581,"Maries County, Missouri",15.8,28.8,39.3,16.2
1582,"Marion County, Missouri",24.8,29.0,35.6,10.6
1583,"Mercer County, Missouri",19.2,28.1,41.5,11.3
1584,"Miller County, Missouri",19.0,28.7,39.8,12.5
1585,"Mississippi County, Missouri",12.5,21.8,43.0,22.8
1586,"Moniteau County, Missouri",19.0,24.8,41.6,14.7
1587,"Monroe County, Missouri",13.8,27.9,48.2,10.0
1588,"Montgomery County, Missouri",16.4,25.6,45.0,13.0
1589,"Morgan County, Missouri",12.6,26.2,39.5,21.7
1590,"New Madrid County, Missouri",12.0,22.8,46.6,18.6
1591,"Newton County, Missouri",21.6,31.2,35.1,12.1
1592,"Nodaway County, Missouri",27.4,27.9,38.0,6.7
1593,"Oregon County, Missouri",14.9,25.5,45.2,14.4
1594,"Osage County, Missouri",20.4,27.2,43.9,8.4
1595,"Ozark County, Missouri",11.7,29.7,39.6,19.0
1596,"Pemiscot County, Missouri",12.0,23.2,44.0,20.8
1597,"Perry County, Missouri",19.1,25.6,41.8,13.4
1598,"Pettis County, Missouri",18.5,33.8,35.3,12.4
1599,"Phelps County, Missouri",29.9,29.6,30.2,10.3
1600,"Pike County, Missouri",15.0,20.7,51.0,13.3
1601,"Platte County, Missouri",43.0,30.2,22.8,3.9
1602,"Polk County, Missouri",20.6,30.2,37.9,11.3
1603,"Pulaski County, Missouri",27.7,36.7,28.8,6.7
1604,"Putnam County, Missouri",20.4,28.7,43.7,7.2
1605,"Ralls County, Missouri",15.4,28.0,47.1,9.5
1606,"Randolph County, Missouri",17.9,33.8,36.9,11.4
1607,"Ray County, Missouri",14.1,27.5,47.1,11.3
1608,"Reynolds County, Missouri",15.4,26.6,36.9,21.1
1609,"Ripley County, Missouri",10.8,30.6,40.3,18.3
1610,"St. Charles County, Missouri",40.8,31.1,23.2,5.0
1611,"St. Clair County, Missouri",14.5,32.5,39.6,13.4
1612,"Ste. Genevieve County, Missouri",17.9,35.4,37.5,9.2
1613,"St. Francois County, Missouri",14.0,33.6,37.6,14.7
1614,"St. Louis County, Missouri",44.4,28.3,21.3,6.0
1615,"Saline County, Missouri",22.5,25.3,36.9,15.3
1616,"Schuyler County, Missouri",9.2,32.8,46.6,11.4
1617,"Scotland County, Missouri",14.9,24.2,40.6,20.3
1618,"Scott County, Missouri",19.8,26.9,38.1,15.2
1619,"Shannon County, Missouri",14.5,22.4,45.2,18.0
1620,"Shelby County, Missouri",19.4,28.2,42.4,10.0
1621,"Stoddard County, Missouri",12.3,25.1,42.4,20.2
1622,"Stone County, Missouri",19.8,35.6,33.3,11.3
1623,"Sullivan County, Missouri",15.2,22.7,47.7,14.5
1624,"Taney County, Missouri",21.2,34.7,34.4,9.7
1625,"Texas County, Missouri",14.8,30.4,39.2,15.6
1626,"Vernon County, Missouri",17.5,29.9,40.9,11.7
1627,"Warren County, Missouri",19.4,33.2,36.9,10.5
1628,"Washington County, Missouri",11.4,28.8,39.3,20.4
1629,"Wayne County, Missouri",9.9,28.0,43.3,18.8
1630,"Webster County, Missouri",17.7,31.6,37.6,13.2
1631,"Worth County, Missouri",18.3,27.8,44.1,9.8
1632,"Wright County, Missouri",11.0,28.7,41.3,19.1
1633,"St. Louis city, Missouri",37.2,27.3,24.2,11.3
1634,"Montana, Montana",33.1,32.8,28.1,6.0
1635,"Beaverhead County, Montana",32.5,32.3,29.8,5.3
1636,"Big Horn County, Montana",18.6,37.1,33.5,10.8
1637,"Blaine County, Montana",24.5,37.2,28.0,10.3
1638,"Broadwater County, Montana",27.2,41.3,25.9,5.6
1639,"Carbon County, Montana",31.5,32.7,31.2,4.6
1640,"Carter County, Montana",21.1,40.9,30.3,7.7
1641,"Cascade County, Montana",27.3,33.6,31.5,7.6
1642,"Chouteau County, Montana",29.0,28.2,35.8,7.0
1643,"Custer County, Montana",27.7,37.1,28.9,6.3
1644,"Daniels County, Montana",23.1,37.0,35.3,4.6
1645,"Dawson County, Montana",24.9,38.8,29.0,7.3
1646,"Deer Lodge County, Montana",20.0,32.2,37.7,10.1
1647,"Fallon County, Montana",15.6,41.3,38.0,5.1
1648,"Fergus County, Montana",27.2,36.0,31.4,5.4
1649,"Flathead County, Montana",32.0,34.0,28.3,5.8
1650,"Gallatin County, Montana",51.6,27.7,17.8,3.0
1651,"Garfield County, Montana",20.9,34.6,41.0,3.5
1652,"Glacier County, Montana",23.2,29.1,35.5,12.3
1653,"Golden Valley County, Montana",21.8,34.0,36.6,7.7
1654,"Granite County, Montana",31.1,32.6,29.4,6.9
1655,"Hill County, Montana",26.7,35.3,30.2,7.8
1656,"Jefferson County, Montana",35.2,32.2,27.5,5.0
1657,"Judith Basin County, Montana",24.5,43.6,27.8,4.1
1658,"Lake County, Montana",31.4,35.5,26.1,7.0
1659,"Lewis and Clark County, Montana",42.5,29.8,23.3,4.4
1660,"Liberty County, Montana",21.7,31.1,18.7,28.5
1661,"Lincoln County, Montana",19.7,34.3,37.5,8.5
1662,"McCone County, Montana",15.9,44.2,34.0,5.9
1663,"Madison County, Montana",33.8,35.1,27.1,4.0
1664,"Meagher County, Montana",26.2,28.2,39.9,5.6
1665,"Mineral County, Montana",21.9,34.0,35.6,8.5
1666,"Missoula County, Montana",44.2,30.8,20.7,4.2
1667,"Musselshell County, Montana",17.6,32.6,41.1,8.7
1668,"Park County, Montana",32.1,35.4,27.9,4.6
1669,"Petroleum County, Montana",26.5,34.1,38.0,1.4
1670,"Phillips County, Montana",18.2,35.4,38.2,8.2
1671,"Pondera County, Montana",24.2,39.0,29.9,6.8
1672,"Powder River County, Montana",23.7,39.0,30.6,6.6
1673,"Powell County, Montana",17.7,31.0,41.7,9.6
1674,"Prairie County, Montana",27.6,32.2,27.4,12.9
1675,"Ravalli County, Montana",28.4,34.0,29.3,8.3
1676,"Richland County, Montana",18.5,37.4,38.3,5.8
1677,"Roosevelt County, Montana",18.7,38.0,32.2,11.1
1678,"Rosebud County, Montana",17.8,40.9,31.6,9.6
1679,"Sanders County, Montana",19.0,32.0,38.9,10.0
1680,"Sheridan County, Montana",25.3,31.4,36.7,6.6
1681,"Silver Bow County, Montana",27.5,31.4,34.6,6.5
1682,"Stillwater County, Montana",26.3,33.4,33.7,6.6
1683,"Sweet Grass County, Montana",21.7,39.0,34.8,4.4
1684,"Teton County, Montana",25.4,34.6,32.6,7.3
1685,"Toole County, Montana",22.3,29.1,35.6,13.0
1686,"Treasure County, Montana",28.2,30.6,32.5,8.7
1687,"Valley County, Montana",19.3,40.0,34.2,6.5
1688,"Wheatland County, Montana",19.6,31.7,36.5,12.2
1689,"Wibaux County, Montana",23.1,31.7,36.0,9.1
1690,"Yellowstone County, Montana",32.8,32.7,29.3,5.2
1691,"Yellowstone National Park, Montana",,,,
1692,"Nebraska, Nebraska",32.5,33.3,25.7,8.4
1693,"Adams County, Nebraska",25.6,38.3,27.0,9.1
1694,"Antelope County, Nebraska",18.0,39.5,34.4,8.0
1695,"Arthur County, Nebraska",24.1,45.0,26.7,4.2
1696,"Banner County, Nebraska",26.7,46.7,23.9,2.8
1697,"Blaine County, Nebraska",23.1,30.9,40.2,5.9
1698,"Boone County, Nebraska",19.0,37.9,37.6,5.5
1699,"Box Butte County, Nebraska",17.7,41.0,32.5,8.8
1700,"Boyd County, Nebraska",18.3,34.8,43.2,3.8
1701,"Brown County, Nebraska",24.2,34.7,36.6,4.5
1702,"Buffalo County, Nebraska",33.8,33.3,25.0,8.0
1703,"Burt County, Nebraska",22.3,33.6,35.1,9.1
1704,"Butler County, Nebraska",23.7,33.0,35.6,7.6
1705,"Cass County, Nebraska",29.4,36.4,28.8,5.4
1706,"Cedar County, Nebraska",21.0,37.7,34.8,6.5
1707,"Chase County, Nebraska",22.2,40.6,26.2,11.0
1708,"Cherry County, Nebraska",23.9,40.2,32.8,3.1
1709,"Cheyenne County, Nebraska",25.5,37.8,31.3,5.4
1710,"Clay County, Nebraska",19.9,37.4,35.5,7.2
1711,"Colfax County, Nebraska",14.9,27.5,27.6,29.9
1712,"Cuming County, Nebraska",23.1,29.4,37.6,10.0
1713,"Custer County, Nebraska",24.7,37.7,32.4,5.2
1714,"Dakota County, Nebraska",14.7,28.8,33.7,22.8
1715,"Dawes County, Nebraska",38.2,33.9,21.9,6.0
1716,"Dawson County, Nebraska",16.7,32.0,30.4,20.9
1717,"Deuel County, Nebraska",20.7,39.8,29.3,10.1
1718,"Dixon County, Nebraska",22.5,31.8,33.0,12.7
1719,"Dodge County, Nebraska",19.7,33.2,36.0,11.0
1720,"Douglas County, Nebraska",40.2,29.4,21.2,9.2
1721,"Dundy County, Nebraska",28.1,36.0,23.8,12.1
1722,"Fillmore County, Nebraska",22.4,37.8,33.0,6.8
1723,"Franklin County, Nebraska",18.3,38.7,36.1,6.9
1724,"Frontier County, Nebraska",23.0,44.1,27.8,5.1
1725,"Furnas County, Nebraska",19.0,37.9,32.8,10.3
1726,"Gage County, Nebraska",20.7,34.5,35.3,9.5
1727,"Garden County, Nebraska",23.1,39.1,32.1,5.6
1728,"Garfield County, Nebraska",29.3,38.4,28.2,4.1
1729,"Gosper County, Nebraska",29.1,37.0,28.8,5.2
1730,"Grant County, Nebraska",23.0,32.2,37.6,7.2
1731,"Greeley County, Nebraska",17.0,40.2,35.9,6.9
1732,"Hall County, Nebraska",21.2,34.0,30.0,14.8
1733,"Hamilton County, Nebraska",24.6,41.5,30.3,3.6
1734,"Harlan County, Nebraska",23.8,42.6,26.9,6.6
1735,"Hayes County, Nebraska",18.7,46.1,27.4,7.8
1736,"Hitchcock County, Nebraska",15.8,46.5,31.2,6.5
1737,"Holt County, Nebraska",24.2,38.0,31.8,6.0
1738,"Hooker County, Nebraska",24.8,35.3,33.7,6.2
1739,"Howard County, Nebraska",21.7,35.2,39.1,4.0
1740,"Jefferson County, Nebraska",18.3,34.3,37.8,9.6
1741,"Johnson County, Nebraska",18.7,24.1,44.9,12.4
1742,"Kearney County, Nebraska",26.4,39.5,28.1,6.0
1743,"Keith County, Nebraska",19.3,42.4,28.3,10.0
1744,"Keya Paha County, Nebraska",25.5,39.5,30.8,4.3
1745,"Kimball County, Nebraska",13.2,38.0,38.6,10.2
1746,"Knox County, Nebraska",19.7,37.8,35.4,7.1
1747,"Lancaster County, Nebraska",39.8,32.4,21.1,6.8
1748,"Lincoln County, Nebraska",21.6,42.8,29.2,6.4
1749,"Logan County, Nebraska",23.2,46.7,25.3,4.9
1750,"Loup County, Nebraska",20.6,42.1,35.5,1.8
1751,"McPherson County, Nebraska",23.8,42.8,25.8,7.6
1752,"Madison County, Nebraska",23.7,36.1,31.0,9.2
1753,"Merrick County, Nebraska",17.0,39.3,37.1,6.5
1754,"Morrill County, Nebraska",22.1,33.3,34.1,10.6
1755,"Nance County, Nebraska",18.4,39.5,35.8,6.4
1756,"Nemaha County, Nebraska",28.0,33.1,30.0,8.9
1757,"Nuckolls County, Nebraska",23.5,37.7,31.6,7.2
1758,"Otoe County, Nebraska",25.4,32.9,34.1,7.7
1759,"Pawnee County, Nebraska",15.6,29.9,38.3,16.2
1760,"Perkins County, Nebraska",26.5,38.4,24.5,10.6
1761,"Phelps County, Nebraska",25.6,39.6,27.3,7.5
1762,"Pierce County, Nebraska",24.5,36.8,33.6,5.2
1763,"Platte County, Nebraska",23.4,37.0,29.6,10.0
1764,"Polk County, Nebraska",19.2,36.3,34.7,9.8
1765,"Red Willow County, Nebraska",23.2,40.1,30.0,6.7
1766,"Richardson County, Nebraska",18.8,36.1,38.1,7.0
1767,"Rock County, Nebraska",29.7,35.9,31.0,3.4
1768,"Saline County, Nebraska",19.2,31.9,31.0,18.0
1769,"Sarpy County, Nebraska",40.5,33.6,21.4,4.5
1770,"Saunders County, Nebraska",27.7,36.6,29.8,6.0
1771,"Scotts Bluff County, Nebraska",23.1,36.3,29.3,11.3
1772,"Seward County, Nebraska",30.7,35.7,28.3,5.3
1773,"Sheridan County, Nebraska",20.4,34.3,34.4,10.9
1774,"Sherman County, Nebraska",21.6,38.8,32.3,7.4
1775,"Sioux County, Nebraska",26.7,41.2,27.3,4.8
1776,"Stanton County, Nebraska",19.8,43.7,31.7,4.8
1777,"Thayer County, Nebraska",20.9,38.0,33.9,7.2
1778,"Thomas County, Nebraska",24.6,50.3,22.7,2.3
1779,"Thurston County, Nebraska",18.9,38.9,31.8,10.5
1780,"Valley County, Nebraska",27.4,35.2,31.0,6.4
1781,"Washington County, Nebraska",32.1,33.5,29.9,4.5
1782,"Wayne County, Nebraska",31.9,34.6,29.6,4.0
1783,"Webster County, Nebraska",22.4,40.0,32.5,5.1
1784,"Wheeler County, Nebraska",25.1,43.9,26.6,4.4
1785,"York County, Nebraska",27.4,40.1,26.7,5.7
1786,"Nevada, Nevada",25.5,33.5,27.9,13.1
1787,"Churchill County, Nevada",18.7,45.1,29.2,7.0
1788,"Clark County, Nevada",25.2,32.8,28.3,13.7
1789,"Douglas County, Nevada",31.9,38.7,23.6,5.8
1790,"Elko County, Nevada",16.8,36.9,33.0,13.2
1791,"Esmeralda County, Nevada",16.8,36.0,27.0,20.1
1792,"Eureka County, Nevada",11.7,39.4,44.0,5.0
1793,"Humboldt County, Nevada",18.8,32.7,32.5,16.0
1794,"Lander County, Nevada",12.3,38.6,35.1,14.0
1795,"Lincoln County, Nevada",16.4,28.3,42.2,13.1
1796,"Lyon County, Nevada",13.9,40.1,32.9,13.1
1797,"Mineral County, Nevada",14.6,37.2,37.6,10.6
1798,"Nye County, Nevada",12.4,38.0,35.7,13.9
1799,"Pershing County, Nevada",10.3,31.1,41.1,17.5
1800,"Storey County, Nevada",33.3,37.3,23.6,5.8
1801,"Washoe County, Nevada",31.7,33.5,23.7,11.1
1802,"White Pine County, Nevada",12.9,32.7,42.8,11.7
1803,"Carson City, Nevada",22.9,38.6,26.6,11.9
1804,"New Hampshire, New Hampshire",37.6,28.4,27.3,6.7
1805,"Belknap County, New Hampshire",31.7,32.7,28.5,7.2
1806,"Carroll County, New Hampshire",37.0,30.5,27.1,5.4
1807,"Cheshire County, New Hampshire",33.7,28.5,31.2,6.6
1808,"Coos County, New Hampshire",19.7,29.3,39.1,11.9
